<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
20MICRONS,20201126,32.15,32.65,31.7,32.1,38821,25109
21STCENMGM,20201126,9.9,9.9,9.7,9.8,2355,2054
3IINFOTECH,20201126,3.2,3.4,3.1,3.35,4520058,2008851
3MINDIA,20201126,21700,21720.75,20850,20920.9,6920,4219
3PLAND,20201126,7.45,7.8,7.45,7.8,350,350
5PAISA,20201126,330.7,334.65,325.05,328.5,6580,4894
63MOONS,20201126,84.3,87.45,81,86.35,453130,232641
8KMILES,20201126,83.7,84.9,80,84.55,30267,0
A2ZINFRA,20201126,3.95,4.15,3.95,4.1,364515,201758
AAKASH,20201126,53,54,52.55,52.9,53442,20011
AARON,20201126,64.75,64.75,64.75,64.75,20249,20248
AARTIDRUGS,20201126,686.95,698,676.25,685.6,472820,133958
AARTIIND,20201126,1115,1125,1092.05,1109.1,164371,97267
AARTISURF,20201126,988,997.7,954.5,997.7,56785,44077
AARVEEDEN,20201126,12.1,12.15,11.45,12,7983,6865
AARVI,20201126,40.4,40.4,37.1,39,3153,1348
AAVAS,20201126,1570,1585,1535.05,1574.65,432819,404035
ABAN,20201126,29.5,29.5,28.15,29.05,452715,264148
ABB,20201126,1033.95,1086.4,1030.3,1076.95,292405,118008
ABBOTINDIA,20201126,15450,15450,15306,15354.15,15162,11668
ABCAPITAL,20201126,81.1,81.7,79.4,80.5,1558707,564547
ABFRL,20201126,156,157.45,154.05,157.05,779436,419990
ABMINTLTD,20201126,24.7,25.95,24.7,24.7,571,0
ABSLBANETF,20201126,290,295,290,294.55,15,8
ABSLNN50ET,20201126,298.99,298.99,280.35,290,202,195
ACC,20201126,1668.35,1700,1654,1692.5,1115726,236914
ACCELYA,20201126,889.9,889.9,853.3,860.6,4233,2807
ACE,20201126,92.95,106.4,92.05,100.65,2626041,667948
ADANIENT,20201126,402.8,411.55,399.15,401.95,5490958,659102
ADANIGAS,20201126,323.5,324.25,311.95,316.35,2636543,762728
ADANIGREEN,20201126,1087.7,1143.85,1087.7,1104.45,3205678,1763486
ADANIPORTS,20201126,400.8,413,395.65,410.15,12856261,2513675
ADANIPOWER,20201126,38.55,38.6,38.1,38.25,2099846,847100
ADANITRANS,20201126,369,369,357.1,364.25,275609,83582
ADFFOODS,20201126,439.7,455,439.05,450.2,47042,25122
ADHUNIKIND,20201126,17.25,17.25,16.2,17.1,93600,53724
ADL,20201126,19.8,19.8,18.85,19.55,2029,0
ADORWELD,20201126,252.5,258,251.6,256.05,6807,2764
ADROITINFO,20201126,6.15,6.3,6.1,6.3,2163,0
ADSL,20201126,22.7,23.9,22.5,23.15,94907,65932
ADVANIHOTR,20201126,50.9,57.1,46.1,53.9,128330,63945
ADVENZYMES,20201126,329.4,330,321.1,324.75,158026,71318
AEGISCHEM,20201126,238.05,241.9,233.7,240.4,250466,153043
AFFLE,20201126,3215,3275,3153,3255.9,73257,34580
AGARIND,20201126,82.4,83.8,81.15,82.7,8961,7368
AGCNET,20201126,590,613,590,604.05,5033,0
